"WMO_ID","DATA_TIMESTAMP","RECEIVED_TIMESTAMP","CLOUD_LOW_TYPE_CL","CLOUD_BASE_M_H","CLOUD_PEAK_M","CLOUD_ELEVATION_ANGLE_EC","CLOUD_LOW_MED_AMT_OKTAS","CLOUD_MED_TYPE_CM","CLOUD_HIGH_TYPE_CH","CLOUD_MED_DIR_DM","CLOUD_MED_HEIGHT_M","CLOUD_HIGH_DIR_DH","CLOUD_HIGH_HEIGHT_M","CLOUD_COVER_OKTAS_M","CLOUD_LAYER_1_TYPE_C","CLOUD_LAYER_2_TYPE_C","CLOUD_LAYER_1_HEIGHT_M_HSHS","CLOUD_LAYER_2_HEIGHT_M_HSHS","CLOUD_LAYER_1_AMT_OKTAS_NS","CLOUD_LAYER_2_AMT_OKTAS_NS","EVAPORATION_24HOURS_MM_EEE","EVAPORATION_EQ_INDICATOR_IE","LAND_COND","LAND_NOTE","PAST_WEATHER_W1","PAST_WEATHER_W2","PRESENT_WEATHER_WW","PRESSURE_TEND_3H_MB_PPP","PRESSURE_READING_MB","PRESSURE_TEMP_C","RAINFALL_24H_RRRR","RAINFALL_6H_RRR","RAINFALL_INDICATOR_IR","RAINFALL_LAST_MM","SOLAR_RAD_24H_JCM2_F24","SUNSHINE_H_SSS","TEMP_DEWPOINT_C_TDTDTD","TEMP_DRYBULB_C_TTTTTT","TEMP_MAX_C_TXTXTX","TEMP_MIN_C_TNTNTN","TEMP_WETBULB_C","VISIBILITY_VV","WEATHER_INDICATOR_IX","WIND_DIR_DEG_DD","WIND_INDICATOR_IW","WIND_SPEED_FF","CLOUD_DIRECTION_ANGLE_DA","CLOUD_MED_COVER_OKTAS","CLOUD_HIGH_COVER_OKTAS","RELATIVE_HUMIDITY_PC","PRESSURE_QFF_MB_DERIVED","PRESSURE_QFE_MB_DERIVED","PRESSURE_TEND_24H_MB_PPP","ENTRY_USER","CLOUD_LAYER_3_TYPE_C","CLOUD_LAYER_3_HEIGHT_M_HSHS","CLOUD_LAYER_3_AMT_OKTAS_NS","CLOUD_LAYER_4_TYPE_C","CLOUD_LAYER_4_HEIGHT_M_HSHS","CLOUD_LAYER_4_AMT_OKTAS_NS","CLOUD_BASE_2_M_H","CLOUD_BASE_3_M_H","CLOUD_PEAK_2_M","CLOUD_DIRECTION_2_ANGLE_DA","CLOUD_ELEVATION_2_ANGLE_EC","ENCODED_SYNOP","OBSERVER_ID"
"96581","15/8/2021 20:00:00 +00","16/8/2021 03:01:42.110049 +00","1","360",,,"4","3","1","0","3600","0","12000","7","8","3","360","3600","4","5",,,"1",,"4","2","28",,,,,,"4",,,,"23.3","23.4",,,"23.3","1.2","1","360","4","3","0","5","4","99","1011.6","1010.9",,"opr96581",,,,,,,,,,,,"SIID62 WIOO 152000
AAXX 15204 
96581 41412 73603 10234 20233 30109 40116 72842 84131
  333 56000 84812 85362=",
"96581","15/8/2021 21:00:00 +00","16/8/2021 05:10:05.2452 +00","9","330","9000","2","5","3","1","0","3600","0","12000","7","9","8","330","360","1","4",,,"1",,"4","2","10","-0.3",,,,,"3","0",,,"23.5","23.6",,,"23.5","4","1","00 ","4","0","0","5","4","99","1011.8","1011.1",,"opr96581","3","3600","5",,,"0","360",,,"0",,"SIID62 WIOO 152100
AAXX 15214 
96581 31440 70000 10236 20235 30111 40118 55003 71042 85931
  333 56000 57902 81911 84812 85362 80980=",
"96581","15/8/2021 22:00:00 +00","16/8/2021 05:06:04.2116 +00","9","330","9000","2","4","3","1","0","3600","0","12000","7","9","8","330","360","1","4",,,"1",,"2","2","2",,,,,,"4",,,,"23.2","23.3",,,"23.2","6","2","00 ","4","0","0","5","4","99","1011.6","1010.9",,"opr96581","3","3600","5",,,,"360",,"9000",,,"SIID62 WIOO 152200
AAXX 15224 
96581 42456 70000 10233 20232 30109 40116 84931
  333 56000 57902 81911 84812 85362 80980=",
"96581","15/8/2021 23:00:00 +00","16/8/2021 06:01:31.434876 +00","1","330",,,"3","3","1","0","3600","0","12000","7","8","3","330","3600","3","4",,,"1",,"2","2","1",,,,,,"4",,,,"22.9","23.2",,,"23","6","2","020","3","4","0","4","5","98","1012","1011.3",,"opr96581","0","12000","5",,,,,,,,,"SIID62 WIOO 152300
AAXX 15233 
96581 42456 70204 10232 20229 30113 40120 83131
  333 56000 83811 84362 85082=",
"96581","16/8/2021 00:00:00 +00","16/8/2021 07:15:59.460083 +00","1","300",,,"5","3","1","0","3600","0","12000","7","8","3","300","3600","5","4","2.4","0","1",,"4","2","3","0.8",,,"7.4","0","1","0",,"0","23.5","23.8",,"22.6","23.6","8","1","00 ","4","0","0","4","3","98","1012.6","1011.9","1.8","opr96581",,,,,,,,,,,,"SMID52 WIOO 160000
AAXX 16004 
96581 11458 70000 10238 20235 30119 40126 53008 60074 70342 85131
  333 20226 50240 55000 56000 58018 85810 84362=","2441"
"96581","16/8/2021 01:00:00 +00","16/8/2021 08:05:35.715932 +00","1","360",,,"3","3","1","0","3600","0","12000","6","8","3","360","3600","3","4",,,"1",,"2","2","1",,,,,,"4",,,,"24.4","25.5",,,"24.7","10","2","00 ","4","0","0","4","2","94","1013.2","1012.5",,"opr96581",,,,,,,,,,,,"SIID62 WIOO 160100
AAXX 16014 
96581 42460 60000 10255 20244 30125 40132 83131
  333 56000 83812 84362=",
"96581","16/8/2021 02:00:00 +00","16/8/2021 09:03:26.389755 +00","1","390",,,"3","3","1","0","3600","0","12000","6","8","3","390","3600","3","4",,,"1",,"2","2","2",,,,,,"4",,,,"24.8","27.8",,,"25.6","10","2","00 ","4","0","0","4","2","84","1013.4","1012.7",,"opr96581",,,,,,,,,,,,"SIID62 WIOO 160200
AAXX 16024 
96581 42460 60000 10278 20248 30127 40134 83131
  333 56000 83813 84362=","2441"
"96581","16/8/2021 03:00:00 +00","16/8/2021 10:01:29.194967 +00","1","390",,,"5","3","1","0","3600","0","12000","6","8","3","390","3600","5","3",,,"1",,"2","2","2","0.4",,,,,"3","0",,,"25.3","29.5",,,"26.4","10","2","220","4","3","0","3","1","78","1013","1012.3",,"opr96581",,,,,,,,,,,,"SIID62 WIOO 160300
AAXX 16034 
96581 32460 62203 10295 20253 30123 40130 50004 85131
  333 56000 85813 83362=","2441"
"96581","16/8/2021 04:00:00 +00","16/8/2021 12:13:21.978127 +00","9","330","9000","1","5","3","1","0","3600","0","12000","7","9","8","330","360","1","5",,,"1",,"2","2","3",,,,,,"4",,,,"26","30",,,"27","10","2","200","4","6","0","3","2","79","1011.9","1011.2",,"opr96581","3","3600","3",,,,"360",,,,,"SIID62 WIOO 160400
AAXX 16044 
96581 42460 72006 10300 20260 30112 40119 85931
  333 56000 57901 81911 85812 83362 80980=","2441"
"96581","16/8/2021 05:00:00 +00","16/8/2021 12:14:32.358017 +00","9","300","9000","1","5","3","1","0","3600","0","12000","7","9","8","300","330","1","5",,,"1",,"9","6","95",,,,,,"4",,,,"25.4","27",,,"25.8","5","1","080","4","7","0","3","2","91","1011.7","1011",,"opr96581","3","3600","3",,,,"330",,"9000",,,"SIID62 WIOO 160500
AAXX 16054 
96581 41450 70807 10270 20254 30110 40117 79596 85931
  333 56000 57901 81910 85811 83362 80980=","2441"
